REGION,PSU,PJ,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
3,65,2854,8,2,2,0,0,2,0,1,1,4,10,49,12,2,1,6,0,2,2,0,1,1,10,0,10,0,0,0,0,0,4,10,49,12,6,0,2,1,10,1,1,2,1,3,13,65,139.8363995
3,65,2854,10,2,2,0,0,2,0,0,1,7,14,30,12,2,0,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,7,14,30,12,6,0,2,1,1,0,0,2,1,3,13,65,268.9704806
3,65,2853,10,1,1,0,0,1,0,0,1,4,10,10,39,2,0,0,0,1,1,0,3,1,10,0,10,0,1,0,0,0,4,10,10,39,0,0,1,1,10,0,0,2,1,3,13,65,268.9704806
3,65,2853,6,2,2,0,0,2,0,1,1,4,9,55,12,2,1,6,0,98,98,0,1,1,1,0,1,0,0,0,0,0,4,9,55,12,6,0,2,1,1,1,1,2,1,3,13,65,54.08640253
3,65,2853,9,2,2,0,0,2,0,0,1,6,18,0,12,9,0,7,0,3,2,0,1,3,1,0,1,0,0,0,0,0,6,18,0,12,7,0,3,3,1,3,1,2,1,3,13,65,181.6700749
3,48,91,8,1,1,0,0,3,0,3,1,6,8,20,34,2,2,0,0,1,1,0,4,1,2,0,2,0,0,0,0,0,6,8,20,34,0,0,1,1,2,2,3,2,1,3,12,48,326.4319611
3,48,91,5,2,2,0,0,2,0,1,1,6,16,40,12,2,3,6,0,8,1,0,1,3,5,0,5,0,0,0,0,0,6,16,40,12,6,0,8,3,5,3,1,2,1,3,12,48,31.45521034
3,48,91,6,1,1,0,0,1,0,1,1,3,12,0,33,2,1,0,0,3,3,0,4,1,1,0,1,0,0,0,0,0,3,12,0,33,0,0,3,1,1,1,1,2,1,3,12,48,157.2866889
3,48,91,9,4,4,0,0,5,0,0,1,6,16,20,12,2,0,1,0,1,1,0,1,3,10,0,10,0,0,0,0,0,6,16,20,12,1,0,1,3,10,0,0,2,1,3,12,48,427.41721
3,48,85,8,2,2,0,0,2,0,1,1,2,15,0,12,2,1,1,0,2,3,0,1,1,1,0,1,0,0,0,0,0,2,15,0,12,1,0,2,1,1,1,1,2,1,3,12,48,326.4319611
3,48,85,5,1,1,0,0,2,0,2,1,5,4,35,42,2,4,0,0,1,1,0,5,2,1,0,1,0,0,0,0,0,5,4,35,42,0,0,1,2,1,4,2,2,1,3,12,48,27.37381445
3,48,91,10,2,2,0,0,3,0,0,1,3,13,15,12,2,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,13,15,12,1,0,1,1,1,0,0,2,1,3,12,48,540.7936367
3,70,46,8,2,2,0,0,3,0,1,1,7,20,20,12,2,2,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,7,20,20,12,1,0,1,2,1,2,1,2,2,3,16,70,130.1761895
3,70,46,6,2,2,0,0,5,0,1,1,1,4,30,12,2,1,6,1,5,1,0,1,2,10,0,10,0,0,0,0,0,1,4,30,12,6,1,5,2,10,1,1,2,2,3,16,70,51.57365489
3,70,46,5,1,1,0,0,7,0,7,1,4,23,50,1,2,3,0,0,1,1,0,4,2,1,0,1,0,1,0,0,0,4,23,50,1,0,0,1,2,1,3,7,2,2,3,16,70,29.89522138
3,70,46,10,2,2,0,0,2,0,0,1,4,9,50,12,2,0,7,0,1,1,0,1,1,1,0,1,0,1,0,0,0,4,9,50,12,7,0,1,1,1,0,0,2,2,3,16,70,215.218122
3,70,46,7,1,1,0,0,1,0,0,1,2,23,10,2,2,0,0,0,1,1,0,1,2,1,0,1,0,1,0,0,0,2,23,10,2,0,0,1,2,1,0,0,2,2,3,16,70,129.8270826
3,70,46,9,2,2,0,0,2,0,0,1,2,7,30,12,2,0,1,0,1,1,0,1,1,1,0,1,0,0,28,0,0,2,7,30,12,1,0,1,1,1,0,0,2,2,3,16,70,146.5241049
3,70,46,5,1,1,0,0,1,0,1,1,6,13,50,34,2,3,0,0,1,1,0,4,1,10,0,10,0,0,0,0,0,6,13,50,34,0,0,1,1,10,3,1,2,2,3,16,70,29.89522138
3,70,46,5,1,1,0,0,1,0,1,1,7,16,0,42,1,3,0,0,1,1,0,4,1,1,0,1,0,0,0,0,0,7,16,0,42,0,0,1,1,1,3,1,1,2,3,16,70,29.89522138
3,70,46,9,1,1,0,0,2,0,0,1,3,7,15,11,2,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,7,15,11,0,0,1,1,1,0,0,2,2,3,16,70,146.5241049
3,70,46,6,1,1,0,0,1,0,1,1,2,15,15,42,2,2,0,0,1,1,0,4,1,1,0,1,0,0,0,0,0,2,15,15,42,0,0,1,1,1,2,1,2,2,3,16,70,51.57365489
3,70,46,5,2,2,0,0,3,0,2,1,2,17,30,12,2,3,1,0,1,1,1,1,5,1,0,1,0,1,28,0,0,2,17,30,12,1,0,1,5,1,3,2,2,2,3,16,70,29.89522138
3,70,46,9,1,1,0,0,1,0,0,1,6,18,45,11,2,0,0,0,1,1,0,1,2,10,0,10,0,0,0,0,0,6,18,45,11,0,0,1,2,10,0,0,2,2,3,16,70,146.5241049
3,70,46,10,2,2,0,0,3,0,0,1,3,17,45,12,2,0,1,0,1,1,1,1,2,1,0,1,0,1,28,0,0,3,17,45,12,1,0,1,2,1,0,0,2,2,3,16,70,215.218122
3,70,47,9,1,1,0,0,1,0,0,1,2,17,45,11,2,0,0,0,1,1,0,1,2,1,0,1,0,0,0,0,0,2,17,45,11,0,0,1,2,1,0,0,2,2,3,16,70,146.5241049
3,70,137,10,2,2,0,0,2,0,0,1,2,15,51,33,2,0,0,0,3,2,0,4,1,1,0,1,0,0,0,0,0,2,15,51,33,0,0,3,1,1,0,0,2,2,3,16,70,215.218122
3,70,137,2,1,1,0,1,1,1,1,1,3,8,12,8,9,2,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,8,12,8,0,0,1,1,1,2,1,2,2,3,16,70,28.24823311
3,70,137,9,2,2,0,0,3,0,0,1,3,14,10,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,0,0,0,3,14,10,12,1,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,137,6,4,4,0,0,6,0,1,1,5,7,23,12,2,2,1,0,1,1,0,1,1,1,0,1,0,0,28,0,0,5,7,23,12,1,0,1,1,1,2,1,2,2,3,16,70,51.57365489
3,70,137,9,2,2,0,0,2,0,0,1,5,10,45,12,2,0,9,0,3,2,0,1,1,1,0,1,0,0,28,0,0,5,10,45,12,9,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,137,10,1,1,0,0,1,0,0,1,7,2,36,1,2,0,0,0,1,1,0,4,3,5,0,5,0,0,0,0,0,7,2,36,1,0,0,1,3,5,0,0,2,2,3,16,70,215.218122
3,70,138,9,2,2,0,0,5,0,0,1,1,12,20,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,1,12,20,12,1,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,6,2,2,0,0,2,0,2,1,2,13,6,12,2,2,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,2,13,6,12,6,0,2,1,1,2,2,2,2,3,16,70,51.57365489
3,70,138,10,2,2,0,0,3,0,0,1,2,17,24,12,2,0,1,0,3,2,0,1,5,1,0,1,0,0,0,0,0,2,17,24,12,1,0,3,5,1,0,0,2,2,3,16,70,215.218122
3,70,138,9,2,2,0,0,2,0,0,1,2,18,35,12,2,0,1,0,1,1,0,1,3,1,0,1,0,0,28,0,0,2,18,35,12,1,0,1,3,1,0,0,2,2,3,16,70,146.5241049
