REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,63,63,16,2,10,4135,188.6456701,0,0,2,2,0,2,1,1,1,12,12,6,6,6,6,12,12,1,1,0,0,3,3,3,1,0,1,1,1,1,0,0,0,0,0,0,9,2
3,78,78,10,1,2,4146,21.52716871,1,1,1,1,0,1,1,3,3,13,13,30,30,30,30,9,9,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,78,78,10,1,9,4146,124.3462461,0,0,2,2,0,2,1,3,3,7,7,0,0,0,0,12,12,7,7,0,0,3,3,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,65,65,13,1,6,4138,48.29377476,0,0,1,1,0,2,1,2,2,0,0,16,16,16,16,30,30,0,0,0,0,3,3,3,3,0,2,2,1,1,0,0,1,1,1,1,1,1
3,40,40,15,1,5,4147,22.29916906,0,0,1,1,0,1,1,7,7,8,8,30,30,30,30,34,34,0,0,0,0,1,1,1,4,0,4,4,2,2,0,0,4,4,1,1,9,2
3,40,40,15,1,9,4147,121.7055834,0,0,2,2,0,2,1,3,3,10,10,0,0,0,0,12,12,6,6,0,0,2,2,2,1,0,1,1,4,4,0,0,0,0,0,0,2,2
3,40,40,15,1,10,4147,192.8775501,0,0,2,2,0,2,1,2,2,9,9,53,53,53,53,12,12,1,1,0,0,3,3,2,1,0,1,1,4,4,0,0,0,0,0,0,2,2
3,12,12,12,1,6,4142,49.08168125,0,0,2,2,0,3,1,1,1,15,15,1,1,1,1,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,12,12,12,1,9,4142,124.544145,0,0,2,2,0,2,1,3,3,8,8,40,40,40,40,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,12,12,12,1,10,4142,196.2245855,0,0,3,3,0,5,1,2,2,16,16,16,16,16,16,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,59,59,10,1,8,4137,121.8602264,0,0,2,2,0,5,1,2,2,15,15,35,35,35,35,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,51,51,10,1,8,1117,118.7692429,0,0,2,2,0,5,1,4,4,19,19,23,23,23,23,12,12,6,6,0,0,2,2,2,1,0,3,3,1,1,0,0,2,2,5,5,2,2
3,35,35,13,1,9,4141,124.2129033,0,0,2,2,0,3,1,2,2,17,17,20,20,20,20,12,12,1,1,0,0,1,1,1,1,0,3,3,10,10,0,0,0,0,0,0,2,2
3,35,35,13,1,10,4141,196.1719023,0,0,2,2,0,3,1,2,2,19,19,14,14,14,14,12,12,1,1,0,0,1,1,1,1,0,3,3,1,1,0,0,0,0,0,0,2,2
3,32,32,17,2,7,4145,129.4200655,0,0,1,1,0,1,1,3,3,99,10,99,Unknown Minutes,54,54,1,1,0,0,0,0,1,1,1,4,0,1,1,10,10,0,0,0,0,0,0,2,2
3,32,32,17,2,6,4145,47.73331467,0,0,2,2,0,2,1,1,1,99,0,99,Unknown Minutes,36,36,12,12,1,1,0,0,3,3,2,1,0,8,2,98,1,0,0,1,2,1,2,9,2
3,32,32,17,2,9,4145,121.4983164,0,0,2,2,0,2,1,1,1,14,14,32,32,32,32,12,12,6,6,0,0,2,2,3,1,0,1,1,10,10,0,0,0,0,0,0,2,2
3,83,83,13,1,7,4148,134.7660328,0,0,2,2,0,2,1,2,2,12,12,0,0,0,0,12,12,7,7,0,0,3,3,3,1,0,1,1,1,1,0,0,0,0,0,0,9,2
3,83,83,13,1,9,4148,125.7120165,0,0,2,2,0,2,1,2,2,7,7,0,0,0,0,12,12,1,1,0,0,3,3,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
